1999,2014,2070,2014,2070,2082,1999,2082
857,868,929,868,929,936,857,936
1491,1636,1740,1636,1740,1784,1491,1784
768,447,868,447,868,550,768,550
983,2496,1053,2496,1053,2568,983,2568
1997,1173,2068,1173,2068,1241,1997,1241
1998,1404,2070,1404,2070,1464,1998,1464
264,1989,315,1989,315,2041,264,2041
1534,1370,1756,1370,1756,1563,1534,1563
859,720,930,720,930,788,859,788
1999,1030,2070,1030,2070,1094,1999,1094
861,3076,930,3076,930,3147,861,3147
1998,1331,2071,1331,2071,1399,1998,1399
2001,2091,2071,2091,2071,2152,2001,2152
1133,1886,1268,1886,1268,2016,1133,2016
863,1704,930,1704,930,1772,863,1772
983,1964,1053,1964,1053,2033,983,2033
1002,1813,1036,1813,1036,1878,1002,1878
1131,1601,1343,1601,1343,1791,1131,1791
989,1741,1038,1741,1038,1803,989,1803
1818,760,1932,760,1932,875,1818,875
1484,440,1593,440,1593,548,1484,548
992,762,1090,762,1090,876,992,876
381,1063,417,1063,417,1100,381,1100
1878,1514,1948,1514,1948,1584,1878,1584
1888,2027,1943,2027,1943,2044,1888,2044
2004,2851,2072,2851,2072,2910,2004,2910
344,2966,386,2966,386,3002,344,3002
1998,1866,2067,1866,2067,1923,1998,1923
2005,2622,2066,2622,2066,2678,2005,2678
1887,2665,1945,2665,1945,2685,1887,2685
667,1774,707,1774,707,1811,667,1811
1876,2283,1952,2283,1952,2351,1876,2351
1880,2364,1952,2364,1952,2427,1880,2427
255,2894,331,2894,331,2977,255,2977
249,3156,331,3156,331,3236,249,3236
936,3152,1000,3152,1000,3221,936,3221
2000,2544,2072,2544,2072,2611,2000,2611
863,1778,934,1778,934,1848,863,1848
344,3017,388,3017,388,3057,344,3057
1888,1591,1940,1591,1940,1610,1888,1610
864,1411,929,1411,929,1467,864,1467
866,1870,927,1870,927,1924,866,1924
2000,1941,2069,1941,2069,2004,2000,2004
1087,2664,1158,2664,1158,2733,1087,2733
1880,2439,1952,2439,1952,2507,1880,2507
254,3025,329,3025,329,3107,254,3107
294,632,365,632,365,704,294,704
982,2728,1052,2728,1052,2794,982,2794
1087,2743,1160,2743,1160,2809,1087,2809
860,3156,925,3156,925,3224,860,3224
612,1014,652,1014,652,1049,612,1049
981,2118,1053,2118,1053,2185,981,2185
982,2267,1051,2267,1051,2336,982,2336
982,2648,1054,2648,1054,2718,982,2718
1469,1895,1543,1895,1543,1964,1469,1964
1089,3152,1155,3152,1155,3222,1089,3222
1167,3154,1230,3154,1230,3223,1167,3223
1880,2058,1951,2058,1951,2122,1880,2122
1772,3151,1840,3151,1840,3222,1772,3222
1881,2516,1945,2516,1945,2576,1881,2576
1880,1359,1950,1359,1950,1426,1880,1426
1880,2591,1951,2591,1951,2652,1880,2652
688,633,751,633,751,704,688,704
985,1892,1050,1892,1050,1955,985,1955
1244,649,1305,649,1305,712,1244,712
984,2877,1049,2877,1049,2942,984,2942
862,2392,931,2392,931,2456,862,2456
1998,1102,2067,1102,2067,1166,1998,1166
1620,1895,1692,1895,1692,1963,1620,1963
1850,3150,1918,3150,1918,3221,1850,3221
1089,2441,1155,2441,1155,2507,1089,2507
1392,3153,1460,3153,1460,3225,1392,3225
1320,3154,1382,3154,1382,3223,1320,3223
860,796,930,796,930,861,860,861
1926,3149,1992,3149,1992,3222,1926,3222
2001,2397,2070,2397,2070,2457,2001,2457
865,2621,931,2621,931,2684,865,2684
1998,3151,2076,3151,2076,3221,1998,3221
1858,1283,1897,1283,1897,1315,1858,1315
1102,2306,1157,2306,1157,2354,1102,2354
681,1944,737,1944,737,1991,681,1991
1793,2160,1845,2160,1845,2210,1793,2210
1099,2186,1156,2186,1156,2242,1099,2242
1095,2596,1154,2596,1154,2653,1095,2653
985,2198,1050,2198,1050,2260,985,2260
1280,2772,1335,2772,1335,2821,1280,2821
1544,2131,1595,2131,1595,2182,1544,2182
1893,3046,1946,3046,1946,3063,1893,3063
1879,2134,1947,2134,1947,2203,1879,2203
983,1434,1050,1434,1050,1499,983,1499
1195,3059,1249,3059,1249,3111,1195,3111
983,2573,1052,2573,1052,2640,983,2640
264,820,317,820,317,873,264,873
994,1516,1051,1516,1051,1573,994,1573
1890,1617,1943,1617,1943,1669,1890,1669
1602,2160,1656,2160,1656,2210,1602,2210
1888,2692,1941,2692,1941,2744,1888,2744
1890,1792,1941,1792,1941,1838,1890,1838
1430,2190,1482,2190,1482,2237,1430,2237
1284,3002,1330,3002,1330,3049,1284,3049
863,1638,933,1638,933,1697,863,1697
746,336,799,336,799,392,746,392
989,2352,1046,2352,1046,2413,989,2413
1855,644,1912,644,1912,712,1855,712
1793,2245,1846,2245,1846,2295,1793,2295
1548,2305,1599,2305,1599,2358,1548,2358
1429,2419,1482,2419,1482,2472,1429,2472
997,1594,1039,1594,1039,1648,997,1648
983,1660,1050,1660,1050,1732,983,1732
1697,3151,1765,3151,1765,3222,1697,3222
314,1280,356,1280,356,1318,314,1318
1885,2209,1949,2209,1949,2277,1885,2277
861,1482,930,1482,930,1548,861,1548
1467,3152,1535,3152,1535,3224,1467,3224
2000,2474,2071,2474,2071,2533,2000,2533
436,1208,479,1208,479,1248,436,1248
1012,3155,1080,3155,1080,3223,1012,3223
422,632,489,632,489,700,422,700
865,1565,932,1565,932,1623,865,1623
2005,637,2076,637,2076,700,2005,700
862,2322,931,2322,931,2385,862,2385
264,2076,320,2076,320,2129,264,2129
1610,3060,1662,3060,1662,3115,1610,3115
269,2165,321,2165,321,2213,269,2213
1886,1679,1942,1679,1942,1726,1886,1726
382,719,431,719,431,762,382,762
1547,2981,1599,2981,1599,3034,1547,3034
1491,2543,1538,2543,1538,2582,1491,2582
1560,338,1613,338,1613,388,1560,388
1893,2753,1945,2753,1945,2803,1893,2803
1088,2968,1157,2968,1157,3038,1088,3038
1089,2515,1158,2515,1158,2584,1089,2584
343,3126,388,3126,388,3163,343,3163
1601,2071,1656,2071,1656,2127,1601,2127
1432,2308,1477,2308,1477,2348,1432,2348
1553,2598,1600,2598,1600,2647,1553,2647
685,896,732,896,732,929,685,929
1374,2983,1423,2983,1423,3033,1374,3033
697,819,747,819,747,869,697,869
1676,331,1728,331,1728,388,1676,388
1546,2075,1592,2075,1592,2123,1546,2123
1547,2826,1603,2826,1603,2879,1547,2879
575,822,625,822,625,871,575,871
1105,2132,1155,2132,1155,2182,1105,2182
1545,2246,1595,2246,1595,2296,1545,2296
1281,2945,1333,2945,1333,2995,1281,2995
1549,2477,1596,2477,1596,2535,1549,2535
1791,2421,1846,2421,1846,2476,1791,2476
1890,2929,1940,2929,1940,2976,1890,2976
381,1612,423,1612,423,1654,381,1654
409,818,462,818,462,874,409,874
1604,2418,1657,2418,1657,2473,1604,2473
1277,2187,1328,2187,1328,2238,1277,2238
732,1620,772,1620,772,1659,732,1659
462,2350,505,2350,505,2391,462,2391
1888,1964,1941,1964,1941,2018,1888,2018
1192,2946,1246,2946,1246,2998,1192,2998
512,2133,556,2133,556,2175,512,2175
1610,2827,1660,2827,1660,2877,1610,2877
1279,2476,1332,2476,1332,2531,1279,2531
338,826,388,826,388,870,338,870
249,1118,289,1118,289,1154,249,1154
1750,2876,1792,2876,1792,2921,1750,2921
1374,2312,1421,2312,1421,2351,1374,2351
989,2046,1048,2046,1048,2104,989,2104
716,1439,754,1439,754,1476,716,1476
1604,2904,1660,2904,1660,2960,1604,2960
563,1806,604,1806,604,1845,563,1845
1665,2540,1700,2540,1700,2570,1665,2570
1368,2071,1419,2071,1419,2125,1368,2125
1605,2336,1657,2336,1657,2385,1605,2385
517,1294,559,1294,559,1331,517,1331
1699,1892,1772,1892,1772,1962,1699,1962
1887,1731,1942,1731,1942,1787,1887,1787
1371,2248,1424,2248,1424,2299,1371,2299
380,1527,421,1527,421,1566,380,1566
1278,2073,1323,2073,1323,2125,1278,2125
1330,334,1381,334,1381,384,1330,384
977,338,1027,338,1027,390,977,390
249,946,288,946,288,980,249,980
592,898,650,898,650,930,592,930
1097,2819,1156,2819,1156,2883,1097,2883
249,987,290,987,290,1026,249,1026
1796,2336,1845,2336,1845,2383,1796,2383
764,1380,805,1380,805,1415,764,1415
249,1525,290,1525,290,1568,249,1568
618,720,669,720,669,769,618,769
774,2175,815,2175,815,2213,774,2213
1190,3004,1246,3004,1246,3053,1190,3053
345,3184,385,3184,385,3226,345,3226
1280,2829,1331,2829,1331,2877,1280,2877
1551,2536,1596,2536,1596,2589,1551,2589
983,2421,1054,2421,1054,2492,983,2492
599,2304,640,2304,640,2347,599,2347
629,341,681,341,681,387,629,387
272,2481,313,2481,313,2521,272,2521
1605,2249,1656,2249,1656,2296,1605,2296
664,1469,705,1469,705,1506,664,1506
1747,2127,1788,2127,1788,2169,1747,2169
1751,2582,1787,2582,1787,2612,1751,2612
1625,3154,1688,3154,1688,3224,1625,3224
1195,2247,1241,2247,1241,2295,1195,2295
991,2803,1047,2803,1047,2867,991,2867
440,1516,477,1516,477,1531,440,1531
250,1363,290,1363,290,1405,250,1405
1370,2190,1421,2190,1421,2237,1370,2237
1627,642,1689,642,1689,713,1627,713
1892,2982,1946,2982,1946,3033,1892,3033
1702,642,1765,642,1765,711,1702,711
727,1313,770,1313,770,1354,727,1354
1548,3060,1600,3060,1600,3112,1548,3112
1998,2321,2069,2321,2069,2386,1998,2386
2004,2779,2072,2779,2072,2838,2004,2838
867,2549,924,2549,924,2611,867,2611
1893,2867,1941,2867,1941,2921,1893,2921
1191,2421,1244,2421,1244,2474,1191,2474
347,2093,388,2093,388,2131,347,2131
643,2349,682,2349,682,2388,643,2388
1484,2306,1540,2306,1540,2356,1484,2356
1749,2619,1790,2619,1790,2659,1749,2659
314,1120,355,1120,355,1157,314,1157
596,1313,639,1313,639,1352,596,1352
1547,2191,1593,2191,1593,2237,1547,2237
1191,2072,1239,2072,1239,2119,1191,2119
1890,2807,1941,2807,1941,2860,1890,2860
665,1861,707,1861,707,1901,665,1901
269,2806,311,2806,311,2846,269,2846
346,2136,389,2136,389,2175,346,2175
519,1210,559,1210,559,1245,519,1245
1432,2913,1484,2913,1484,2956,1432,2956
1285,2601,1329,2601,1329,2646,1285,2646
1889,1908,1940,1908,1940,1956,1889,1956
688,2305,728,2305,728,2347,688,2347
1105,2363,1156,2363,1156,2416,1105,2416
1105,2247,1153,2247,1153,2294,1105,2294
1279,2653,1333,2653,1333,2703,1279,2703
440,1141,476,1141,476,1157,440,1157
272,2318,313,2318,313,2358,272,2358
981,1360,1047,1360,1047,1425,981,1425
313,944,353,944,353,983,313,983
345,2613,387,2613,387,2652,345,2652
603,2176,642,2176,642,2217,603,2217
1280,2132,1322,2132,1322,2178,1280,2178
1705,2362,1747,2362,1747,2399,1705,2399
437,1470,477,1470,477,1510,437,1510
272,2425,314,2425,314,2465,272,2465
313,1363,355,1363,355,1404,313,1404
1199,2892,1242,2892,1242,2937,1199,2937
1436,3058,1482,3058,1482,3110,1436,3110
688,2218,728,2218,728,2258,688,2258
1752,2664,1789,2664,1789,2700,1752,2700
313,1483,355,1483,355,1522,313,1522
864,336,916,336,916,386,864,386
440,1166,478,1166,478,1201,440,1201
666,1686,705,1686,705,1724,666,1724
346,2396,386,2396,386,2434,346,2434
773,2303,816,2303,816,2343,773,2343
436,1340,477,1340,477,1377,436,1377
1280,2363,1325,2363,1325,2411,1280,2411
1093,2892,1152,2892,1152,2961,1093,2961
612,1379,652,1379,652,1420,612,1420
1705,2491,1745,2491,1745,2532,1705,2532
773,2435,816,2435,816,2475,773,2475
1100,3049,1138,3049,1138,3109,1100,3109
380,1002,419,1002,419,1042,380,1042
559,2046,597,2046,597,2084,559,2084
251,1861,292,1861,292,1901,251,1901
436,1076,477,1076,477,1114,436,1114
1375,2828,1427,2828,1427,2882,1375,2882
522,1515,560,1515,560,1555,522,1555
1660,2128,1702,2128,1702,2169,1660,2169
468,2692,507,2692,507,2729,468,2729
503,1945,550,1945,550,1996,503,1996
436,1253,478,1253,478,1291,436,1291
272,2588,313,2588,313,2628,272,2628
561,1861,603,1861,603,1902,561,1902
273,2262,313,2262,313,2303,273,2303
316,1773,357,1773,357,1814,316,1814
1752,2836,1790,2836,1790,2874,1752,2874
718,1686,758,1686,758,1722,718,1722
1194,2303,1237,2303,1237,2356,1194,2356
442,1644,480,1644,480,1682,442,1682
1285,2719,1328,2719,1328,2765,1285,2765
616,1687,656,1687,656,1726,616,1726
563,1077,602,1077,602,1120,563,1120
766,1859,809,1859,809,1901,766,1901
379,1298,419,1298,419,1340,379,1340
317,1864,356,1864,356,1899,317,1899
462,2049,504,2049,504,2085,462,2085
636,3127,674,3127,674,3163,636,3163
768,1686,808,1686,808,1723,768,1723
522,1645,560,1645,560,1687,522,1687
768,2824,805,2824,805,2863,768,2863
1663,2708,1705,2708,1705,2749,1663,2749
1700,2317,1745,2317,1745,2358,1700,2358
778,2352,815,2352,815,2385,778,2385
1427,2072,1479,2072,1479,2123,1427,2123
1705,2126,1743,2126,1743,2169,1705,2169
614,1557,656,1557,656,1597,614,1597
603,2443,639,2443,639,2476,603,2476
465,2229,498,2229,498,2258,465,2258
558,2483,594,2483,594,2518,558,2518
1749,2791,1791,2791,1791,2831,1749,2831
1492,2593,1546,2593,1546,2648,1492,2648
1278,2540,1330,2540,1330,2584,1278,2584
1193,2712,1243,2712,1243,2761,1193,2761
560,2220,597,2220,597,2259,560,2259
1212,334,1262,334,1262,385,1212,385
1289,2886,1327,2886,1327,2935,1289,2935
642,2480,684,2480,684,2522,642,2522
1107,2081,1147,2081,1147,2126,1107,2126
