1598,923,1651,923,1651,979,1598,979
1606,1219,1653,1219,1653,1264,1606,1264
1604,1338,1653,1338,1653,1378,1604,1378
1598,1040,1656,1040,1656,1094,1598,1094
887,3060,930,3060,930,3102,887,3102
2034,1888,2084,1888,2084,1936,2034,1936
2029,635,2073,635,2073,672,2029,672
445,2360,489,2360,489,2402,445,2402
2028,592,2074,592,2074,633,2028,633
443,2015,484,2015,484,2057,443,2057
443,2231,488,2231,488,2270,443,2270
2028,830,2075,830,2075,865,2028,865
889,3109,931,3109,931,3143,889,3143
223,2537,269,2537,269,2579,223,2579
2033,1740,2085,1740,2085,1793,2033,1793
1602,1618,1655,1618,1655,1674,1602,1674
239,1510,283,1510,283,1551,239,1551
1600,1155,1652,1155,1652,1207,1600,1207
5,2721,43,2721,43,2760,5,2760
1603,1396,1653,1396,1653,1442,1603,1442
1917,3026,1962,3026,1962,3066,1917,3066
1599,869,1648,869,1648,918,1599,918
1180,3168,1222,3168,1222,3207,1180,3207
1921,3195,1962,3195,1962,3246,1921,3246
672,609,727,609,727,659,672,659
1609,1564,1646,1564,1646,1609,1609,1609
1655,434,1709,434,1709,484,1655,484
1537,489,1593,489,1593,543,1537,543
789,894,847,894,847,951,789,951
1606,1503,1650,1503,1650,1558,1606,1558
1535,721,1593,721,1593,778,1535,778
432,603,488,603,488,657,432,657
447,2063,482,2063,482,2094,447,2094
1092,502,1143,502,1143,533,1092,533
1825,1653,1877,1653,1877,1693,1825,1693
1907,722,1962,722,1962,768,1907,768
1213,1593,1265,1593,1265,1642,1213,1642
1395,1533,1451,1533,1451,1585,1395,1585
1211,1359,1266,1359,1266,1410,1211,1410
853,839,906,839,906,890,853,890
377,958,428,958,428,1009,377,1009
1906,1244,1963,1244,1963,1296,1906,1296
1482,1246,1540,1246,1540,1295,1482,1295
1817,1010,1874,1010,1874,1063,1817,1063
219,724,276,724,276,774,219,774
552,1013,606,1013,606,1064,552,1064
1913,2904,1970,2904,1970,2957,1913,2957
1215,1650,1268,1650,1268,1702,1215,1702
319,1199,367,1199,367,1230,319,1230
1093,1768,1149,1768,1149,1817,1093,1817
1547,1767,1602,1767,1602,1819,1547,1819
1729,957,1783,957,1783,1003,1729,1003
1912,2728,1967,2728,1967,2777,1912,2777
1662,1764,1717,1764,1717,1816,1662,1816
1731,1015,1785,1015,1785,1063,1731,1063
311,490,367,490,367,543,311,543
154,1770,208,1770,208,1825,154,1825
375,901,427,901,427,950,375,950
489,1651,545,1651,545,1706,489,1706
1538,664,1592,664,1592,716,1538,716
1730,835,1786,835,1786,888,1730,888
1913,492,1966,492,1966,540,1913,540
1908,783,1964,783,1964,830,1908,830
1541,606,1592,606,1592,658,1541,658
1152,679,1204,679,1204,705,1152,705
318,1009,371,1009,371,1062,318,1062
608,604,661,604,661,659,608,659
851,1422,904,1422,904,1469,851,1469
493,1364,545,1364,545,1413,493,1413
1735,3120,1779,3120,1779,3142,1735,3142
1658,485,1713,485,1713,541,1658,541
1798,2036,1851,2036,1851,2089,1798,2089
1910,3074,1966,3074,1966,3129,1910,3129
220,608,276,608,276,658,220,658
490,1479,544,1479,544,1533,490,1533
1914,1858,1971,1858,1971,1910,1914,1910
1828,446,1874,446,1874,476,1828,476
1481,899,1535,899,1535,950,1481,950
1916,2556,1969,2556,1969,2607,1916,2607
1731,895,1783,895,1783,945,1731,945
221,2781,269,2781,269,2824,221,2824
1654,840,1710,840,1710,890,1654,890
317,836,371,836,371,892,317,892
1855,2558,1909,2558,1909,2606,1855,2606
1542,1358,1595,1358,1595,1413,1542,1413
371,1769,426,1769,426,1820,371,1820
492,1070,545,1070,545,1123,492,1123
371,1598,425,1598,425,1651,371,1651
1154,1130,1206,1130,1206,1181,1154,1181
853,610,903,610,903,658,853,658
154,438,211,438,211,488,154,488
549,1649,601,1649,601,1702,549,1702
1152,1070,1207,1070,1207,1125,1152,1125
732,1245,786,1245,786,1298,732,1298
676,894,731,894,731,948,676,948
1540,838,1591,838,1591,889,1540,889
1029,548,1084,548,1084,600,1029,600
488,661,546,661,546,718,488,718
491,549,539,549,539,599,491,599
492,1536,544,1536,544,1589,492,1589
1634,2790,1690,2790,1690,2844,1634,2844
1392,1478,1447,1478,1447,1529,1392,1529
221,663,275,663,275,716,221,716
1660,1416,1713,1416,1713,1469,1660,1469
4,1954,49,1954,49,1994,4,1994
1914,2497,1969,2497,1969,2549,1914,2549
1801,2389,1851,2389,1851,2429,1801,2429
1151,1475,1204,1475,1204,1527,1151,1527
1548,2091,1607,2091,1607,2146,1548,2146
786,1768,842,1768,842,1819,786,1819
1150,783,1201,783,1201,830,1150,830
1543,1076,1591,1076,1591,1118,1543,1118
437,841,488,841,488,893,437,893
432,1305,485,1305,485,1360,432,1360
548,777,605,777,605,835,548,835
1542,789,1592,789,1592,826,1542,826
1908,1011,1962,1011,1962,1063,1908,1063
156,669,210,669,210,720,156,720
677,1474,728,1474,728,1530,677,1530
1908,1479,1963,1479,1963,1527,1908,1527
1093,1013,1145,1013,1145,1068,1093,1068
1601,1098,1651,1098,1651,1147,1601,1147
1658,663,1709,663,1709,716,1658,716
221,784,274,784,274,834,221,834
152,1541,207,1541,207,1594,152,1594
1912,1534,1965,1534,1965,1583,1912,1583
1152,1420,1205,1420,1205,1468,1152,1468
1823,837,1874,837,1874,887,1823,887
226,2827,271,2827,271,2867,226,2867
1093,1491,1146,1491,1146,1518,1093,1518
1153,1300,1208,1300,1208,1356,1153,1356
433,665,483,665,483,718,433,718
225,2998,270,2998,270,3037,225,3037
791,605,844,605,844,659,791,659
732,1068,784,1068,784,1124,732,1124
1599,668,1651,668,1651,716,1599,716
2032,1592,2082,1592,2082,1647,2032,1647
310,548,365,548,365,601,310,601
375,1070,429,1070,429,1126,375,1126
1271,1765,1325,1765,1325,1818,1271,1818
435,1769,487,1769,487,1820,435,1820
1327,719,1381,719,1381,772,1327,772
433,1250,486,1250,486,1300,433,1300
1797,1982,1853,1982,1853,2033,1797,2033
1398,1594,1449,1594,1449,1641,1398,1641
371,1480,426,1480,426,1537,371,1537
1729,783,1781,783,1781,832,1729,832
1662,1590,1713,1590,1713,1641,1662,1641
494,1419,542,1419,542,1470,494,1470
1829,623,1872,623,1872,652,1829,652
432,1593,485,1593,485,1648,432,1648
217,1247,262,1247,262,1290,217,1290
1485,1478,1535,1478,1535,1527,1485,1527
1328,2824,1372,2824,1372,2863,1328,2863
1825,558,1867,558,1867,592,1825,592
1822,1476,1877,1476,1877,1521,1822,1521
1330,1592,1384,1592,1384,1643,1330,1643
793,1185,843,1185,843,1237,793,1237
1637,2440,1693,2440,1693,2496,1637,2496
909,1652,964,1652,964,1704,909,1704
374,1653,426,1653,426,1706,374,1706
432,1362,485,1362,485,1414,432,1414
1801,2211,1854,2211,1854,2256,1801,2256
375,1195,424,1195,424,1236,375,1236
1818,1182,1873,1182,1873,1238,1818,1238
154,1133,208,1133,208,1186,154,1186
317,1075,367,1075,367,1122,317,1122
-1,1998,44,1998,44,2039,-1,2039
675,836,728,836,728,890,675,890
376,1134,424,1134,424,1182,376,1182
1820,1246,1869,1246,1869,1290,1820,1290
1267,1246,1319,1246,1319,1292,1267,1292
1656,552,1708,552,1708,597,1656,597
319,963,364,963,364,1004,319,1004
154,1193,207,1193,207,1246,154,1246
605,1185,661,1185,661,1241,605,1241
431,498,480,498,480,539,431,539
1330,1653,1382,1653,1382,1702,1330,1702
1824,1597,1876,1597,1876,1643,1824,1643
610,492,655,492,655,539,610,539
1822,671,1870,671,1870,710,1822,710
1797,2674,1848,2674,1848,2726,1797,2726
495,959,540,959,540,1006,495,1006
372,1307,422,1307,422,1357,372,1357
373,1714,425,1714,425,1764,373,1764
218,1120,261,1120,261,1161,218,1161
1819,1074,1872,1074,1872,1119,1819,1119
1912,2611,1968,2611,1968,2667,1912,2667
1393,1190,1447,1190,1447,1238,1393,1238
376,3047,418,3047,418,3077,376,3077
675,778,726,778,726,830,675,830
428,432,482,432,482,488,428,488
966,662,1019,662,1019,717,966,717
1330,897,1378,897,1378,946,1330,946
608,1708,660,1708,660,1761,608,1761
553,1592,605,1592,605,1646,553,1646
979,1583,1024,1583,1024,1627,979,1627
490,1013,543,1013,543,1062,490,1062
1480,607,1531,607,1531,659,1480,659
847,1652,903,1652,903,1702,847,1702
792,954,846,954,846,1006,792,1006
1917,3134,1968,3134,1968,3187,1917,3187
1543,433,1594,433,1594,486,1543,486
850,1477,902,1477,902,1531,850,1531
1549,2036,1607,2036,1607,2085,1549,2085
792,1652,844,1652,844,1702,792,1702
220,2623,268,2623,268,2668,220,2668
1856,2864,1909,2864,1909,2887,1856,2887
1908,1129,1962,1129,1962,1176,1908,1176
1661,1015,1707,1015,1707,1063,1661,1063
674,546,726,546,726,601,674,601
1551,2267,1603,2267,1603,2319,1551,2319
376,1367,425,1367,425,1417,376,1417
1821,1300,1870,1300,1870,1354,1821,1354
238,1682,283,1682,283,1723,238,1723
1268,1419,1322,1419,1322,1468,1268,1468
1912,1417,1960,1417,1960,1465,1912,1465
1855,3025,1907,3025,1907,3073,1855,3073
491,1132,544,1132,544,1183,491,1183
237,1554,283,1554,283,1594,237,1594
155,1311,206,1311,206,1361,155,1361
1742,1778,1786,1778,1786,1818,1742,1818
966,779,1018,779,1018,832,966,832
1394,1014,1445,1014,1445,1063,1394,1063
552,1305,601,1305,601,1353,552,1353
966,605,1019,605,1019,657,966,657
226,3088,271,3088,271,3125,226,3125
908,1304,965,1304,965,1356,908,1356
848,1766,906,1766,906,1819,848,1819
1474,2729,1517,2729,1517,2768,1474,2768
314,440,360,440,360,479,314,479
1328,779,1378,779,1378,830,1328,830
845,430,898,430,898,482,845,482
1741,1733,1785,1733,1785,1774,1741,1774
225,3129,272,3129,272,3171,225,3171
1551,3121,1597,3121,1597,3163,1551,3163
239,1597,281,1597,281,1637,239,1637
224,2482,270,2482,270,2523,224,2523
898,3193,920,3193,920,3234,898,3234
850,667,901,667,901,718,850,718
1661,1300,1711,1300,1711,1350,1661,1350
612,1068,661,1068,661,1125,612,1125
493,726,543,726,543,773,493,773
605,1247,663,1247,663,1292,605,1292
1658,614,1702,614,1702,654,1658,654
519,2607,563,2607,563,2651,519,2651
299,2864,343,2864,343,2900,299,2900
1477,2470,1517,2470,1517,2500,1477,2500
297,2214,341,2214,341,2253,297,2253
1390,724,1444,724,1444,774,1390,774
737,2078,780,2078,780,2118,737,2118
154,960,206,960,206,1011,154,1011
434,1422,484,1422,484,1472,434,1472
792,1247,843,1247,843,1296,792,1296
158,607,211,607,211,661,158,661
1919,1980,1971,1980,1971,2025,1919,2025
1487,1648,1541,1648,1541,1702,1487,1702
1601,1272,1657,1272,1657,1326,1601,1326
1271,780,1323,780,1323,832,1271,832
853,1592,903,1592,903,1644,853,1644
1033,3129,1077,3129,1077,3168,1033,3168
433,1072,488,1072,488,1122,433,1122
1661,1533,1713,1533,1713,1583,1661,1583
910,1072,964,1072,964,1123,910,1123
1474,1904,1519,1904,1519,1945,1474,1945
730,431,783,431,783,485,730,485
592,2566,637,2566,637,2606,592,2606
316,724,366,724,366,778,316,778
298,2300,340,2300,340,2338,298,2338
1656,1125,1710,1125,1710,1180,1656,1180
1913,2960,1967,2960,1967,3015,1913,3015
1760,1284,1801,1284,1801,1325,1760,1325
436,1192,481,1192,481,1238,436,1238
484,435,538,435,538,484,484,484
854,1015,899,1015,899,1061,854,1061
1034,2568,1075,2568,1075,2599,1034,2599
1557,2485,1600,2485,1600,2525,1557,2525
1861,2038,1907,2038,1907,2083,1861,2083
1546,1708,1598,1708,1598,1757,1546,1757
552,1770,603,1770,603,1822,552,1822
732,1766,784,1766,784,1818,732,1818
663,1906,708,1906,708,1947,663,1947
520,2521,562,2521,562,2564,520,2564
227,3212,273,3212,273,3254,227,3254
318,611,363,611,363,659,318,659
1918,1593,1964,1593,1964,1637,1918,1637
791,1536,843,1536,843,1587,791,1587
216,1032,262,1032,262,1076,216,1076
1547,1417,1589,1417,1589,1469,1547,1469
1329,2739,1372,2739,1372,2777,1329,2777
2028,675,2073,675,2073,720,2028,720
979,1284,1023,1284,1023,1323,979,1323
225,2259,267,2259,267,2297,225,2297
607,1132,661,1132,661,1183,607,1183
1915,667,1961,667,1961,713,1915,713
374,551,425,551,425,600,374,600
1551,3166,1596,3166,1596,3208,1551,3208
225,2302,268,2302,268,2341,225,2341
679,960,723,960,723,1000,679,1000
1394,1358,1448,1358,1448,1413,1394,1413
980,1629,1023,1629,1023,1669,980,1669
370,1909,412,1909,412,1943,370,1943
1206,431,1257,431,1257,482,1206,482
381,844,427,844,427,891,381,891
302,2735,345,2735,345,2773,302,2773
1324,1241,1380,1241,1380,1295,1324,1295
797,1308,841,1308,841,1352,797,1352
1093,1652,1144,1652,1144,1702,1093,1702
1714,1069,1758,1069,1758,1107,1714,1107
1543,1589,1597,1589,1597,1645,1543,1645
494,1595,539,1595,539,1648,494,1648
1106,2165,1149,2165,1149,2205,1106,2205
1544,1009,1594,1009,1594,1060,1544,1060
1542,1131,1593,1131,1593,1175,1542,1175
795,1714,840,1714,840,1756,795,1756
1918,2092,1969,2092,1969,2146,1918,2146
1917,2267,1970,2267,1970,2316,1917,2316
734,723,788,723,788,774,734,774
1662,1068,1709,1068,1709,1121,1662,1121
979,1326,1023,1326,1023,1368,979,1368
447,2912,492,2912,492,2955,447,2955
608,955,663,955,663,1009,608,1009
1857,2787,1904,2787,1904,2842,1857,2842
435,1709,485,1709,485,1763,435,1763
1543,900,1591,900,1591,948,1543,948
1826,1420,1873,1420,1873,1467,1826,1467
1092,1128,1148,1128,1148,1180,1092,1180
1153,843,1203,843,1203,890,1153,890
1211,608,1255,608,1255,660,1211,660
1326,2085,1371,2085,1371,2128,1326,2128
225,3040,272,3040,272,3081,225,3081
1597,549,1649,549,1649,600,1597,600
965,723,1023,723,1023,773,965,773
